
Printing code table
   0 | p = 0     | k = -1    | code = 0 | lastUse = 0
   1 | p = 0     | k = -2    | code = 1 | lastUse = 0
   2 | p = 0     | k = -3    | code = 2 | lastUse = 1791
   3 | p = 0     | k = -4    | code = 3 | lastUse = 3839
   4 | p = 0     | k = -5    | code = 4 | lastUse = 0
   5 | p = 0     | k = 0     | code = 5 | lastUse = 0
   6 | p = 0     | k = 1     | code = 6 | lastUse = 0
   7 | p = 0     | k = 2     | code = 7 | lastUse = 0
   8 | p = 0     | k = 3     | code = 8 | lastUse = 0
   9 | p = 0     | k = 4     | code = 9 | lastUse = 0
  10 | p = 0     | k = 5     | code = 10 | lastUse = 0
  11 | p = 0     | k = 6     | code = 11 | lastUse = 0
  12 | p = 0     | k = 7     | code = 12 | lastUse = 0
  13 | p = 0     | k = 8     | code = 13 | lastUse = 0
  14 | p = 0     | k = 9     | code = 14 | lastUse = 0
  15 | p = 0     | k = 10    | code = 15 | lastUse = 3612
  16 | p = 0     | k = 11    | code = 16 | lastUse = 0
  17 | p = 0     | k = 12    | code = 17 | lastUse = 0
  18 | p = 0     | k = 13    | code = 18 | lastUse = 0
  19 | p = 0     | k = 14    | code = 19 | lastUse = 0
  20 | p = 0     | k = 15    | code = 20 | lastUse = 0
  21 | p = 0     | k = 16    | code = 21 | lastUse = 0
  22 | p = 0     | k = 17    | code = 22 | lastUse = 0
  23 | p = 0     | k = 18    | code = 23 | lastUse = 0
  24 | p = 0     | k = 19    | code = 24 | lastUse = 0
  25 | p = 0     | k = 20    | code = 25 | lastUse = 0
  26 | p = 0     | k = 21    | code = 26 | lastUse = 0
  27 | p = 0     | k = 22    | code = 27 | lastUse = 0
  28 | p = 0     | k = 23    | code = 28 | lastUse = 0
  29 | p = 0     | k = 24    | code = 29 | lastUse = 0
  30 | p = 0     | k = 25    | code = 30 | lastUse = 0
  31 | p = 0     | k = 26    | code = 31 | lastUse = 0
  32 | p = 0     | k = 27    | code = 32 | lastUse = 0
  33 | p = 0     | k = 28    | code = 33 | lastUse = 0
  34 | p = 0     | k = 29    | code = 34 | lastUse = 0
  35 | p = 0     | k = 30    | code = 35 | lastUse = 0
  36 | p = 0     | k = 31    | code = 36 | lastUse = 0
  37 | p = 0     | k = 32    | code = 37 | lastUse = 2896
  38 | p = 0     | k = 33    | code = 38 | lastUse = 749
  39 | p = 0     | k = 34    | code = 39 | lastUse = 3177
  40 | p = 0     | k = 35    | code = 40 | lastUse = 0
  41 | p = 0     | k = 36    | code = 41 | lastUse = 0
  42 | p = 0     | k = 37    | code = 42 | lastUse = 0
  43 | p = 0     | k = 38    | code = 43 | lastUse = 0
  44 | p = 0     | k = 39    | code = 44 | lastUse = 2851
  45 | p = 0     | k = 40    | code = 45 | lastUse = 3300
  46 | p = 0     | k = 41    | code = 46 | lastUse = 2941
  47 | p = 0     | k = 42    | code = 47 | lastUse = 0
  48 | p = 0     | k = 43    | code = 48 | lastUse = 0
  49 | p = 0     | k = 44    | code = 49 | lastUse = 1028
  50 | p = 0     | k = 45    | code = 50 | lastUse = 2086
  51 | p = 0     | k = 46    | code = 51 | lastUse = 1956
  52 | p = 0     | k = 47    | code = 52 | lastUse = 0
  53 | p = 0     | k = 48    | code = 53 | lastUse = 718
  54 | p = 0     | k = 49    | code = 54 | lastUse = 11
  55 | p = 0     | k = 50    | code = 55 | lastUse = 0
  56 | p = 0     | k = 51    | code = 56 | lastUse = 0
  57 | p = 0     | k = 52    | code = 57 | lastUse = 0
  58 | p = 0     | k = 53    | code = 58 | lastUse = 14
  59 | p = 0     | k = 54    | code = 59 | lastUse = 0
  60 | p = 0     | k = 55    | code = 60 | lastUse = 715
  61 | p = 0     | k = 56    | code = 61 | lastUse = 12
  62 | p = 0     | k = 57    | code = 62 | lastUse = 0
  63 | p = 0     | k = 58    | code = 63 | lastUse = 627
  64 | p = 0     | k = 59    | code = 64 | lastUse = 525
  65 | p = 0     | k = 60    | code = 65 | lastUse = 0
  66 | p = 0     | k = 61    | code = 66 | lastUse = 0
  67 | p = 0     | k = 62    | code = 67 | lastUse = 0
  68 | p = 0     | k = 63    | code = 68 | lastUse = 1971
  69 | p = 0     | k = 64    | code = 69 | lastUse = 0
  70 | p = 0     | k = 65    | code = 70 | lastUse = 3840
  71 | p = 0     | k = 66    | code = 71 | lastUse = 3730
  72 | p = 0     | k = 67    | code = 72 | lastUse = 1085
  73 | p = 0     | k = 68    | code = 73 | lastUse = 1337
  74 | p = 0     | k = 69    | code = 74 | lastUse = 1974
  75 | p = 0     | k = 70    | code = 75 | lastUse = 2592
  76 | p = 0     | k = 71    | code = 76 | lastUse = 1877
  77 | p = 0     | k = 72    | code = 77 | lastUse = 2207
  78 | p = 0     | k = 73    | code = 78 | lastUse = 1694
  79 | p = 0     | k = 74    | code = 79 | lastUse = 337
  80 | p = 0     | k = 75    | code = 80 | lastUse = 2331
  81 | p = 0     | k = 76    | code = 81 | lastUse = 3237
  82 | p = 0     | k = 77    | code = 82 | lastUse = 2411
  83 | p = 0     | k = 78    | code = 83 | lastUse = 1357
  84 | p = 0     | k = 79    | code = 84 | lastUse = 1792
  85 | p = 0     | k = 80    | code = 85 | lastUse = 543
  86 | p = 0     | k = 81    | code = 86 | lastUse = 0
  87 | p = 0     | k = 82    | code = 87 | lastUse = 2434
  88 | p = 0     | k = 83    | code = 88 | lastUse = 1015
  89 | p = 0     | k = 84    | code = 89 | lastUse = 3178
  90 | p = 0     | k = 85    | code = 90 | lastUse = 0
  91 | p = 0     | k = 86    | code = 91 | lastUse = 2406
  92 | p = 0     | k = 87    | code = 92 | lastUse = 1405
