
Printing code table
   0 | p = 0     | k = -1    | code = 0 | lastUse = 0
   1 | p = 0     | k = -2    | code = 1 | lastUse = 0
   2 | p = 0     | k = -3    | code = 2 | lastUse = 13261
   3 | p = 0     | k = -4    | code = 3 | lastUse = 15309
   4 | p = 0     | k = -5    | code = 4 | lastUse = 0
   5 | p = 0     | k = 0     | code = 5 | lastUse = 0
   6 | p = 0     | k = 1     | code = 6 | lastUse = 0
   7 | p = 0     | k = 2     | code = 7 | lastUse = 0
   8 | p = 0     | k = 3     | code = 8 | lastUse = 0
   9 | p = 0     | k = 4     | code = 9 | lastUse = 0
  10 | p = 0     | k = 5     | code = 10 | lastUse = 0
  11 | p = 0     | k = 6     | code = 11 | lastUse = 0
  12 | p = 0     | k = 7     | code = 12 | lastUse = 0
  13 | p = 0     | k = 8     | code = 13 | lastUse = 0
  14 | p = 0     | k = 9     | code = 14 | lastUse = 0
  15 | p = 0     | k = 10    | code = 15 | lastUse = 14706
  16 | p = 0     | k = 11    | code = 16 | lastUse = 0
  17 | p = 0     | k = 12    | code = 17 | lastUse = 0
  18 | p = 0     | k = 13    | code = 18 | lastUse = 0
  19 | p = 0     | k = 14    | code = 19 | lastUse = 0
  20 | p = 0     | k = 15    | code = 20 | lastUse = 0
  21 | p = 0     | k = 16    | code = 21 | lastUse = 0
  22 | p = 0     | k = 17    | code = 22 | lastUse = 0
  23 | p = 0     | k = 18    | code = 23 | lastUse = 0
  24 | p = 0     | k = 19    | code = 24 | lastUse = 0
  25 | p = 0     | k = 20    | code = 25 | lastUse = 0
  26 | p = 0     | k = 21    | code = 26 | lastUse = 0
  27 | p = 0     | k = 22    | code = 27 | lastUse = 0
  28 | p = 0     | k = 23    | code = 28 | lastUse = 0
  29 | p = 0     | k = 24    | code = 29 | lastUse = 0
  30 | p = 0     | k = 25    | code = 30 | lastUse = 0
  31 | p = 0     | k = 26    | code = 31 | lastUse = 0
  32 | p = 0     | k = 27    | code = 32 | lastUse = 0
  33 | p = 0     | k = 28    | code = 33 | lastUse = 0
  34 | p = 0     | k = 29    | code = 34 | lastUse = 0
  35 | p = 0     | k = 30    | code = 35 | lastUse = 0
  36 | p = 0     | k = 31    | code = 36 | lastUse = 0
  37 | p = 0     | k = 32    | code = 37 | lastUse = 14992
  38 | p = 0     | k = 33    | code = 38 | lastUse = 13803
  39 | p = 0     | k = 34    | code = 39 | lastUse = 14839
  40 | p = 0     | k = 35    | code = 40 | lastUse = 0
  41 | p = 0     | k = 36    | code = 41 | lastUse = 0
  42 | p = 0     | k = 37    | code = 42 | lastUse = 0
  43 | p = 0     | k = 38    | code = 43 | lastUse = 0
  44 | p = 0     | k = 39    | code = 44 | lastUse = 14763
  45 | p = 0     | k = 40    | code = 45 | lastUse = 0
  46 | p = 0     | k = 41    | code = 46 | lastUse = 0
